timestamp,protocol,duration,src_bytes,dst_bytes,count,srv_count,source_id
2024-11-01 09:58:00,TCP,0.10,110,280,4,2,host_1
2024-11-01 09:58:02,TCP,0.14,125,310,5,2,host_1
2024-11-01 09:58:05,UDP,0.05,25,60,1,1,host_2
2024-11-01 09:58:08,TCP,1.80,5200,8400,42,33,host_3
2024-11-01 09:58:12,TCP,2.10,6100,9200,48,37,host_3
2024-11-01 09:58:15,UDP,0.04,18,45,1,1,host_2
2024-11-01 09:58:18,TCP,0.11,115,290,4,2,host_1
2024-11-01 09:58:20,TCP,3.90,12000,18000,90,75,host_5
2024-11-01 09:58:24,TCP,4.20,13500,21000,95,80,host_5
2024-11-01 09:58:28,ICMP,0.01,5,5,1,1,host_6
2024-11-01 09:58:30,TCP,0.09,105,260,3,2,host_1
2024-11-01 09:58:34,UDP,0.06,30,70,2,1,host_2
2024-11-01 09:58:37,TCP,5.50,20000,30000,120,100,host_7
2024-11-01 09:58:41,TCP,6.10,22000,34000,130,110,host_7
2024-11-01 09:58:45,TCP,0.13,130,330,5,2,host_1
2024-11-01 09:58:48,UDP,0.05,22,55,1,1,host_2
2024-11-01 09:58:51,TCP,0.15,140,350,6,3,host_1
2024-11-01 09:58:55,TCP,7.80,30000,45000,180,150,host_9
2024-11-01 09:59:00,TCP,8.40,32000,48000,190,160,host_9
2024-11-01 09:59:05,UDP,0.03,15,40,1,1,host_2
2024-11-01 09:59:10,TCP,0.12,118,295,4,2,host_1
2024-11-01 09:59:15,TCP,9.20,50000,75000,240,200,host_10
2024-11-01 09:59:20,TCP,10.50,58000,86000,260,220,host_10
2024-11-01 09:59:25,ICMP,0.02,6,6,1,1,host_6
2024-11-01 09:59:30,TCP,0.11,112,285,4,2,host_1
2024-11-01 09:59:35,TCP,0.16,145,360,6,3,host_1
2024-11-01 09:59:40,TCP,12.80,90000,120000,300,280,host_11
2024-11-01 09:59:45,TCP,14.20,98000,135000,320,300,host_11
2024-11-01 09:59:50,UDP,0.04,20,50,1,1,host_2
